target_id	X0	mu_k	GI	k_obs	Xt	Reads_t	Log2fc
18_61	500	1.000	1.000	1.030	150781.836	755	0.679
18_62	500	1.000	1.000	1.034	154566.161	774	0.714
18_63	500	1.000	1.000	0.990	120881.079	605	0.359
18_64	500	1.000	1.000	1.002	129401.559	648	0.458
18_65	500	1.000	1.000	1.078	197239.797	987	1.065
18_66	500	1.000	1.000	0.986	118402.349	592	0.328
18_67	500	1.000	1.000	0.965	105301.541	527	0.160
18_68	500	1.000	1.000	1.018	141277.137	707	0.584
18_69	500	1.000	1.000	0.961	103172.845	516	0.129
18_70	500	1.000	1.000	0.899	73236.097	366	-0.366
18_71	500	1.000	1.000	0.954	99223.442	496	0.072
18_72	500	1.000	1.000	1.031	151773.621	760	0.688
18_73	500	1.000	1.000	0.996	125345.396	627	0.411
18_74	500	1.000	1.000	1.061	179778.439	900	0.932
18_75	500	1.000	1.000	1.089	209304.387	1048	1.152
18_76	500	1.000	1.000	0.942	92934.831	465	-0.021
18_77	500	1.000	1.000	0.978	113364.803	567	0.265
18_78	500	1.000	1.000	1.043	162411.152	813	0.785
18_79	500	1.000	1.000	0.962	103447.484	518	0.135
18_80	500	1.000	1.000	0.967	106673.019	534	0.179
18_81	500	1.000	1.000	1.006	132581.042	663	0.491
18_82	500	1.000	1.000	0.937	90488.749	453	-0.058
18_83	500	1.000	1.000	1.044	163635.883	819	0.796
18_84	500	1.000	1.000	0.880	65866.611	329	-0.520
18_85	500	1.000	1.000	1.006	132581.438	663	0.491
18_86	500	1.000	1.000	0.926	85132.725	426	-0.147
18_87	500	1.000	1.000	1.000	128067.208	641	0.442
18_88	500	1.000	1.000	0.957	100752.297	504	0.096
18_89	500	1.000	1.000	1.033	153705.591	769	0.705
18_90	500	1.000	1.000	1.000	127680.704	639	0.438
18_91	500	1.000	1.000	0.959	102002.311	510	0.113
18_92	500	1.000	1.000	0.950	96844.577	484	0.037
18_93	500	1.000	1.000	0.999	127594.761	638	0.436
18_94	500	1.000	1.000	1.019	142564.201	713	0.596
18_95	500	1.000	1.000	1.004	130891.497	655	0.474
18_96	500	1.000	1.000	0.955	99929.754	500	0.084
18_97	500	1.000	1.000	1.017	140586.014	704	0.578
18_98	500	1.000	1.000	1.063	181298.163	907	0.943
18_99	500	1.000	1.000	0.988	119586.629	598	0.342
18_100	500	1.000	1.000	1.020	142971.452	715	0.600
18_101	500	1.000	1.000	1.054	172731.872	865	0.875
18_102	500	0.745	0.745	0.865	60447.093	302	-0.643
18_103	500	1.000	1.000	1.021	143740.623	719	0.608
18_104	500	1.000	1.000	0.985	117480.555	588	0.318
18_105	500	1.000	1.000	0.987	119226.205	597	0.340
18_106	500	1.000	1.000	0.952	98070.926	491	0.058
18_107	500	1.000	1.000	1.058	176950.122	886	0.909
18_108	500	1.000	1.000	1.006	132637.690	664	0.493
18_109	500	1.000	1.000	1.045	164441.225	823	0.803
18_110	500	1.000	1.000	1.100	222874.140	1116	1.242
18_111	500	1.000	1.000	0.997	126168.130	631	0.420
18_112	500	1.000	1.000	0.962	103929.805	520	0.141
18_113	500	1.000	1.000	0.996	125132.063	626	0.408
18_114	500	1.000	1.000	0.965	105444.392	528	0.163
18_115	500	1.000	1.000	1.043	162142.789	811	0.782
18_116	500	1.000	1.000	0.985	117959.753	590	0.323
18_117	500	1.000	1.000	1.008	133851.885	670	0.506
18_118	500	1.000	1.000	1.104	227309.240	1138	1.271
18_119	500	1.000	1.000	1.034	154174.517	772	0.711
18_120	500	1.000	1.000	1.050	169154.758	847	0.844
18_121	500	1.000	1.000	0.981	115177.289	576	0.288
18_122	500	1.000	1.000	1.092	212788.994	1065	1.175
18_123	500	1.000	1.000	1.110	235668.745	1180	1.323
18_124	500	1.000	1.000	1.012	136951.622	685	0.538
18_125	500	1.000	1.000	1.019	142222.400	712	0.594
18_126	500	1.000	1.000	1.004	131218.004	657	0.478
18_127	500	1.000	1.000	1.015	139103.258	696	0.561
18_128	500	1.000	1.000	0.998	126282.507	632	0.422
18_129	500	1.000	1.000	1.033	153536.609	768	0.703
18_130	500	1.000	1.000	0.972	109439.981	548	0.216
18_131	500	1.000	1.000	1.012	136716.672	684	0.536
18_132	500	1.000	1.000	1.062	180506.289	903	0.937
18_133	500	1.000	1.000	1.067	185085.024	926	0.973
18_134	500	1.000	1.000	0.959	102089.871	511	0.115
18_135	500	1.000	1.000	1.064	182563.888	914	0.954
18_136	500	1.000	1.000	1.006	132548.616	663	0.491
18_137	500	1.000	1.000	0.933	88113.450	441	-0.097
18_138	500	1.000	1.000	0.933	88322.007	442	-0.094
18_139	500	0.942	0.942	0.901	73862.522	369	-0.354
18_140	500	1.000	1.000	1.040	160077.045	801	0.764
18_141	500	1.000	1.000	0.956	100066.509	501	0.087
18_142	500	1.000	1.000	1.007	132734.429	664	0.493
18_143	500	1.000	1.000	1.023	145139.282	726	0.622
18_144	500	1.000	1.000	1.032	152845.049	765	0.698
18_145	500	1.000	1.000	1.052	170749.597	855	0.858
18_146	500	1.000	1.000	1.031	151636.351	759	0.686
18_147	500	1.000	1.000	1.023	145640.660	729	0.628
18_148	500	1.000	1.000	1.076	195259.248	977	1.050
18_149	500	1.000	1.000	1.059	177679.191	889	0.914
18_150	500	0.864	1.000	0.832	50466.611	252	-0.904
18_151	500	0.853	1.000	0.927	85350.333	427	-0.144
18_152	500	0.736	1.000	0.676	21188.099	106	-2.154
18_153	500	0.668	1.000	0.643	17647.255	88	-2.422
18_154	500	0.564	1.000	0.558	11031.271	55	-3.100
18_155	500	0.942	1.000	0.985	117651.805	589	0.320
18_156	500	0.755	1.000	0.879	65363.239	327	-0.529
18_157	500	0.734	1.000	0.730	28636.844	143	-1.722
18_158	500	0.760	1.000	0.758	33527.114	167	-1.498
18_159	500	0.889	1.000	0.905	75397.780	377	-0.323
18_160	500	0.865	1.000	0.852	56465.142	282	-0.742
18_161	500	0.673	1.000	0.641	17459.770	87	-2.439
18_162	500	0.908	1.000	0.904	75174.793	376	-0.327
18_163	500	0.901	1.000	0.971	109201.897	546	0.211
18_164	500	0.579	1.000	0.560	11182.273	55	-3.100
18_165	500	0.969	1.000	0.943	93548.127	468	-0.011
18_166	500	0.752	1.000	0.841	52968.757	265	-0.832
18_167	500	0.610	1.000	0.565	11482.324	57	-3.049
18_168	500	0.521	0.632	0.459	6390.402	32	-3.882
18_169	500	0.803	1.000	0.827	49141.655	246	-0.939
18_170	500	0.540	1.000	0.456	6272.049	31	-3.928
18_171	500	0.526	1.000	0.630	16464.075	82	-2.524
18_172	500	0.660	1.000	0.644	17766.148	88	-2.422
18_173	500	0.929	1.000	0.902	74151.439	371	-0.346
18_174	500	0.531	1.000	0.575	12110.638	60	-2.975
18_175	500	0.980	1.000	0.972	109491.638	548	0.216
18_176	500	0.569	1.000	0.561	11233.538	56	-3.074
18_177	500	0.970	1.000	0.936	89573.001	448	-0.074
18_178	500	0.887	1.000	0.907	76296.517	382	-0.304
18_179	500	0.868	1.000	0.887	68425.699	342	-0.464
18_180	500	0.758	1.000	0.783	38505.338	192	-1.297
18_181	500	0.714	1.000	0.667	20220.095	101	-2.224
18_182	500	0.733	1.000	0.796	41405.393	207	-1.188
18_183	500	0.967	1.000	0.981	115485.094	578	0.293
18_184	500	0.669	1.000	0.701	24325.226	121	-1.963
18_185	500	0.694	1.000	0.686	22424.673	112	-2.074
